date,interest,reef_break
2020-09-01,18,G-land
2020-10-01,0,G-land
2020-11-01,29,G-land
2020-12-01,29,G-land
2021-01-01,41,G-land
2021-02-01,25,G-land
2021-03-01,45,G-land
2021-04-01,27,G-land
2021-05-01,0,G-land
2021-06-01,24,G-land
2021-07-01,23,G-land
2021-08-01,19,G-land
2021-09-01,0,G-land
2021-10-01,0,G-land
2021-11-01,19,G-land
2021-12-01,34,G-land
2022-01-01,39,G-land
2022-02-01,41,G-land
2022-03-01,28,G-land
2022-04-01,26,G-land
2022-05-01,100,G-land
2022-06-01,73,G-land
2022-07-01,19,G-land
2022-08-01,35,G-land
2022-09-01,26,G-land
2022-10-01,46,G-land
2022-11-01,25,G-land
2022-12-01,30,G-land
2023-01-01,42,G-land
2023-02-01,55,G-land
2023-03-01,36,G-land
2023-04-01,38,G-land
2023-05-01,38,G-land
2023-06-01,22,G-land
2023-07-01,33,G-land
2023-08-01,31,G-land
2023-09-01,42,G-land
2023-10-01,19,G-land
2023-11-01,27,G-land
2023-12-01,29,G-land
2024-01-01,34,G-land
2024-02-01,0,G-land
2024-03-01,24,G-land
2024-04-01,0,G-land
2024-05-01,25,G-land
2024-06-01,29,G-land
2024-07-01,0,G-land
2024-08-01,30,G-land
2024-09-01,0,G-land
2024-10-01,26,G-land
2024-11-01,0,G-land
2024-12-01,32,G-land
2019-01-01,65,Honolua Bay
2019-02-01,38,Honolua Bay
2019-03-01,55,Honolua Bay
2019-04-01,52,Honolua Bay
2019-05-01,27,Honolua Bay
2019-06-01,37,Honolua Bay
2019-07-01,34,Honolua Bay
2019-08-01,35,Honolua Bay
2019-09-01,30,Honolua Bay
2019-10-01,31,Honolua Bay
2019-11-01,64,Honolua Bay
2019-12-01,67,Honolua Bay
2020-01-01,66,Honolua Bay
2020-02-01,46,Honolua Bay
2020-03-01,20,Honolua Bay
2020-04-01,0,Honolua Bay
2020-05-01,0,Honolua Bay
2020-06-01,0,Honolua Bay
2020-07-01,18,Honolua Bay
2020-08-01,0,Honolua Bay
2020-09-01,24,Honolua Bay
2020-10-01,32,Honolua Bay
2020-11-01,35,Honolua Bay
2020-12-01,100,Honolua Bay
2021-01-01,31,Honolua Bay
2021-02-01,38,Honolua Bay
2021-03-01,21,Honolua Bay
2021-04-01,30,Honolua Bay
2021-05-01,24,Honolua Bay
2021-06-01,17,Honolua Bay
2021-07-01,34,Honolua Bay
2021-08-01,24,Honolua Bay
2021-09-01,22,Honolua Bay
2021-10-01,21,Honolua Bay
2021-11-01,26,Honolua Bay
2021-12-01,28,Honolua Bay
2022-01-01,29,Honolua Bay
2022-02-01,37,Honolua Bay
2022-03-01,22,Honolua Bay
2022-04-01,32,Honolua Bay
2022-05-01,27,Honolua Bay
2022-06-01,0,Honolua Bay
2022-07-01,25,Honolua Bay
2022-08-01,0,Honolua Bay
2022-09-01,0,Honolua Bay
2022-10-01,35,Honolua Bay
2022-11-01,27,Honolua Bay
2022-12-01,26,Honolua Bay
2023-01-01,53,Honolua Bay
2023-02-01,25,Honolua Bay
2023-03-01,27,Honolua Bay
2023-04-01,19,Honolua Bay
2023-05-01,14,Honolua Bay
2023-06-01,22,Honolua Bay
2023-07-01,22,Honolua Bay
2023-08-01,0,Honolua Bay
2023-09-01,0,Honolua Bay
2023-10-01,19,Honolua Bay
2023-11-01,22,Honolua Bay
2023-12-01,29,Honolua Bay
2024-01-01,21,Honolua Bay
2024-02-01,30,Honolua Bay
2024-03-01,0,Honolua Bay
2024-04-01,0,Honolua Bay
2024-05-01,17,Honolua Bay
2024-06-01,0,Honolua Bay
2024-07-01,17,Honolua Bay
2024-08-01,20,Honolua Bay
2024-09-01,0,Honolua Bay
2024-10-01,20,Honolua Bay
2024-11-01,25,Honolua Bay
2024-12-01,53,Honolua Bay
2019-01-01,99,Raglan
2019-02-01,99,Raglan
2019-03-01,87,Raglan
2019-04-01,90,Raglan
2019-05-01,61,Raglan
2019-06-01,51,Raglan
2019-07-01,48,Raglan
2019-08-01,58,Raglan
2019-09-01,51,Raglan
2019-10-01,66,Raglan
2019-11-01,77,Raglan
2019-12-01,88,Raglan
2020-01-01,100,Raglan
2020-02-01,92,Raglan
2020-03-01,57,Raglan
2020-04-01,32,Raglan
2020-05-01,54,Raglan
2020-06-01,59,Raglan
2020-07-01,47,Raglan
2020-08-01,42,Raglan
2020-09-01,55,Raglan
2020-10-01,56,Raglan
2020-11-01,44,Raglan
2020-12-01,70,Raglan
2021-01-01,80,Raglan
2021-02-01,53,Raglan
2021-03-01,49,Raglan
2021-04-01,46,Raglan
2021-05-01,49,Raglan
2021-06-01,42,Raglan
2021-07-01,30,Raglan
2021-08-01,22,Raglan
2021-09-01,34,Raglan
2021-10-01,37,Raglan
2021-11-01,41,Raglan
2021-12-01,47,Raglan
2022-01-01,90,Raglan
2022-02-01,50,Raglan
2022-03-01,42,Raglan
2022-04-01,61,Raglan
2022-05-01,48,Raglan
2022-06-01,37,Raglan
2022-07-01,38,Raglan
2022-08-01,39,Raglan
2022-09-01,46,Raglan
2022-10-01,49,Raglan
2022-11-01,60,Raglan
2022-12-01,67,Raglan
2023-01-01,75,Raglan
2023-02-01,64,Raglan
2023-03-01,64,Raglan
2023-04-01,58,Raglan
2023-05-01,46,Raglan
2023-06-01,41,Raglan
2023-07-01,33,Raglan
2023-08-01,45,Raglan
2023-09-01,35,Raglan
2023-10-01,49,Raglan
2023-11-01,57,Raglan
2023-12-01,64,Raglan
2024-01-01,73,Raglan
2024-02-01,69,Raglan
2024-03-01,62,Raglan
2024-04-01,52,Raglan
2024-05-01,49,Raglan
2024-06-01,36,Raglan
2024-07-01,45,Raglan
2024-08-01,39,Raglan
2024-09-01,37,Raglan
2024-10-01,44,Raglan
2024-11-01,56,Raglan
2024-12-01,65,Raglan
2019-01-01,87,Puerto Escondido
2019-02-01,57,Puerto Escondido
2019-03-01,62,Puerto Escondido
2019-04-01,52,Puerto Escondido
2019-05-01,72,Puerto Escondido
2019-06-01,64,Puerto Escondido
2019-07-01,100,Puerto Escondido
2019-08-01,76,Puerto Escondido
2019-09-01,77,Puerto Escondido
2019-10-01,69,Puerto Escondido
2019-11-01,84,Puerto Escondido
2019-12-01,75,Puerto Escondido
2020-01-01,67,Puerto Escondido
2020-02-01,74,Puerto Escondido
2020-03-01,36,Puerto Escondido
2020-04-01,20,Puerto Escondido
2020-05-01,32,Puerto Escondido
2020-06-01,30,Puerto Escondido
2020-07-01,41,Puerto Escondido
2020-08-01,52,Puerto Escondido
2020-09-01,46,Puerto Escondido
2020-10-01,47,Puerto Escondido
2020-11-01,38,Puerto Escondido
2020-12-01,37,Puerto Escondido
2021-01-01,45,Puerto Escondido
2021-02-01,42,Puerto Escondido
2021-03-01,47,Puerto Escondido
2021-04-01,57,Puerto Escondido
2021-05-01,58,Puerto Escondido
2021-06-01,67,Puerto Escondido
2021-07-01,82,Puerto Escondido
2021-08-01,75,Puerto Escondido
2021-09-01,52,Puerto Escondido
2021-10-01,74,Puerto Escondido
2021-11-01,65,Puerto Escondido
2021-12-01,61,Puerto Escondido
2022-01-01,97,Puerto Escondido
2022-02-01,93,Puerto Escondido
2022-03-01,86,Puerto Escondido
2022-04-01,89,Puerto Escondido
2022-05-01,78,Puerto Escondido
2022-06-01,64,Puerto Escondido
2022-07-01,66,Puerto Escondido
2022-08-01,76,Puerto Escondido
2022-09-01,69,Puerto Escondido
2022-10-01,74,Puerto Escondido
2022-11-01,72,Puerto Escondido
2022-12-01,68,Puerto Escondido
2023-01-01,75,Puerto Escondido
2023-02-01,77,Puerto Escondido
2023-03-01,66,Puerto Escondido
2023-04-01,66,Puerto Escondido
2023-05-01,70,Puerto Escondido
2023-06-01,77,Puerto Escondido
2023-07-01,63,Puerto Escondido
2023-08-01,92,Puerto Escondido
2023-09-01,60,Puerto Escondido
2023-10-01,81,Puerto Escondido
2023-11-01,62,Puerto Escondido
2023-12-01,60,Puerto Escondido
2024-01-01,65,Puerto Escondido
2024-02-01,74,Puerto Escondido
2024-03-01,75,Puerto Escondido
2024-04-01,60,Puerto Escondido
2024-05-01,61,Puerto Escondido
2024-06-01,52,Puerto Escondido
2024-07-01,72,Puerto Escondido
2024-08-01,74,Puerto Escondido
2024-09-01,58,Puerto Escondido
2024-10-01,60,Puerto Escondido
2024-11-01,66,Puerto Escondido
2024-12-01,73,Puerto Escondido
2019-01-01,66,Kirra
2019-02-01,100,Kirra
2019-03-01,46,Kirra
2019-04-01,52,Kirra
2019-05-01,37,Kirra
2019-06-01,34,Kirra
2019-07-01,46,Kirra
2019-08-01,40,Kirra
2019-09-01,42,Kirra
2019-10-01,43,Kirra
2019-11-01,40,Kirra
2019-12-01,63,Kirra
2020-01-01,50,Kirra
2020-02-01,54,Kirra
2020-03-01,44,Kirra
2020-04-01,31,Kirra
2020-05-01,45,Kirra
2020-06-01,42,Kirra
2020-07-01,46,Kirra
2020-08-01,38,Kirra
2020-09-01,39,Kirra
2020-10-01,43,Kirra
2020-11-01,41,Kirra
2020-12-01,62,Kirra
