date,reef_break,interest,dhw
2024-06-01,Cloudbreak,24,0.1989999999999999
2024-07-01,Cloudbreak,59,0.0944444444444444
2024-08-01,Cloudbreak,100,0.0
2024-09-01,Cloudbreak,21,0.0
2024-10-01,Cloudbreak,20,0.0
2024-11-01,Cloudbreak,15,0.0
2024-12-01,Cloudbreak,10,0.1016129032258064
2019-01-01,Snapper Rocks,23,0.0
2019-02-01,Snapper Rocks,100,0.0
2019-03-01,Snapper Rocks,39,0.0
2019-04-01,Snapper Rocks,64,0.0
2019-05-01,Snapper Rocks,17,0.0
2019-06-01,Snapper Rocks,22,0.0
2019-07-01,Snapper Rocks,32,0.0
2019-08-01,Snapper Rocks,17,0.0
2019-09-01,Snapper Rocks,27,0.0
2019-10-01,Snapper Rocks,21,0.0
2019-11-01,Snapper Rocks,22,0.0
2019-12-01,Snapper Rocks,30,0.0
2020-01-01,Snapper Rocks,24,0.0
2020-02-01,Snapper Rocks,74,0.8175862068965517
2020-03-01,Snapper Rocks,32,3.752903225806452
2020-04-01,Snapper Rocks,15,3.88
2020-05-01,Snapper Rocks,20,2.2458064516129035
2020-06-01,Snapper Rocks,25,0.0
2020-07-01,Snapper Rocks,23,0.0
2020-08-01,Snapper Rocks,22,0.0
2020-09-01,Snapper Rocks,17,0.0
2020-10-01,Snapper Rocks,15,0.0
2020-11-01,Snapper Rocks,15,0.0
2020-12-01,Snapper Rocks,41,0.0
2021-01-01,Snapper Rocks,25,0.0
2021-02-01,Snapper Rocks,30,0.0
2021-03-01,Snapper Rocks,19,0.0
2021-04-01,Snapper Rocks,27,0.0
2021-05-01,Snapper Rocks,33,0.0
2021-06-01,Snapper Rocks,18,0.0
2021-07-01,Snapper Rocks,23,0.0
2021-08-01,Snapper Rocks,17,0.0
2021-09-01,Snapper Rocks,17,0.0
2021-10-01,Snapper Rocks,16,0.0
2021-11-01,Snapper Rocks,20,0.0
2021-12-01,Snapper Rocks,29,0.0
2022-01-01,Snapper Rocks,70,0.0
2022-02-01,Snapper Rocks,38,0.5121428571428571
2022-03-01,Snapper Rocks,24,0.53
2022-04-01,Snapper Rocks,30,0.4583333333333333
2022-05-01,Snapper Rocks,56,0.0
2022-06-01,Snapper Rocks,18,0.0
2022-07-01,Snapper Rocks,35,0.0
2022-08-01,Snapper Rocks,17,0.0
2022-09-01,Snapper Rocks,19,0.0
2022-10-01,Snapper Rocks,16,0.0
2022-11-01,Snapper Rocks,18,0.0
2022-12-01,Snapper Rocks,26,0.0
2023-01-01,Snapper Rocks,38,0.0
2023-02-01,Snapper Rocks,38,0.0
2023-03-01,Snapper Rocks,21,0.0
2023-04-01,Snapper Rocks,44,0.0
2023-05-01,Snapper Rocks,64,0.0
2023-06-01,Snapper Rocks,20,0.0
2023-07-01,Snapper Rocks,18,0.0
2023-08-01,Snapper Rocks,12,0.0
2023-09-01,Snapper Rocks,21,0.0
2023-10-01,Snapper Rocks,22,0.0
2023-11-01,Snapper Rocks,20,0.0
2023-12-01,Snapper Rocks,22,0.0
2024-01-01,Snapper Rocks,45,0.0533333333333333
2024-02-01,Snapper Rocks,24,2.1182758620689657
2024-03-01,Snapper Rocks,31,6.524516129032258
2024-04-01,Snapper Rocks,52,6.6033333333333335
2024-05-01,Snapper Rocks,40,3.202258064516129
2024-06-01,Snapper Rocks,16,0.0
2024-07-01,Snapper Rocks,20,0.0
2024-08-01,Snapper Rocks,21,0.0
2024-09-01,Snapper Rocks,18,0.0
2024-10-01,Snapper Rocks,15,0.0
2024-11-01,Snapper Rocks,17,0.0
2024-12-01,Snapper Rocks,28,0.0
2019-01-01,Padang Padang,69,0.0
2019-02-01,Padang Padang,65,0.0321428571428571
2019-03-01,Padang Padang,56,0.1803225806451613
2019-04-01,Padang Padang,68,1.1996666666666669
2019-05-01,Padang Padang,57,1.446774193548387
2019-06-01,Padang Padang,83,1.1913333333333334
2019-07-01,Padang Padang,100,0.134516129032258
2019-08-01,Padang Padang,73,0.0
2019-09-01,Padang Padang,68,0.0
2019-10-01,Padang Padang,73,0.0
2019-11-01,Padang Padang,66,0.0
2019-12-01,Padang Padang,64,0.0
2020-01-01,Padang Padang,64,0.4441935483870967
2020-02-01,Padang Padang,47,4.999310344827586
2020-03-01,Padang Padang,33,10.658064516129034
2020-04-01,Padang Padang,14,15.213666666666668
2020-05-01,Padang Padang,17,11.8
2020-06-01,Padang Padang,20,6.113
2020-07-01,Padang Padang,25,0.99
2020-08-01,Padang Padang,27,0.0
2020-09-01,Padang Padang,29,0.0
2020-10-01,Padang Padang,29,0.0
2020-11-01,Padang Padang,28,0.0
2020-12-01,Padang Padang,32,0.0
2021-01-01,Padang Padang,20,0.0
2021-02-01,Padang Padang,23,0.0
2021-03-01,Padang Padang,18,0.0
2021-04-01,Padang Padang,21,0.0
2021-05-01,Padang Padang,21,0.0
2021-06-01,Padang Padang,22,0.0
2021-07-01,Padang Padang,12,0.0
2021-08-01,Padang Padang,19,0.0
2021-09-01,Padang Padang,22,0.0
2021-10-01,Padang Padang,19,0.0
2021-11-01,Padang Padang,21,0.0
2021-12-01,Padang Padang,18,0.2690322580645161
2022-01-01,Padang Padang,21,0.64
2022-02-01,Padang Padang,15,0.64
2022-03-01,Padang Padang,25,0.9487096774193547
2022-04-01,Padang Padang,30,4.110666666666667
2022-05-01,Padang Padang,37,5.112258064516129
2022-06-01,Padang Padang,46,3.8513333333333337
2022-07-01,Padang Padang,45,0.5251612903225806
2022-08-01,Padang Padang,55,0.0464516129032258
2022-09-01,Padang Padang,45,0.0
2022-10-01,Padang Padang,47,0.0
2022-11-01,Padang Padang,40,0.0
2022-12-01,Padang Padang,45,0.0
2023-01-01,Padang Padang,41,0.0
2023-02-01,Padang Padang,36,0.0
2023-03-01,Padang Padang,35,0.0
2023-04-01,Padang Padang,54,0.0
2023-05-01,Padang Padang,46,0.0
2023-06-01,Padang Padang,48,0.0
2023-07-01,Padang Padang,64,0.0
2023-08-01,Padang Padang,69,0.0
2023-09-01,Padang Padang,64,0.0
2023-10-01,Padang Padang,48,0.0
2023-11-01,Padang Padang,48,0.0
2023-12-01,Padang Padang,41,0.0258064516129032
2024-01-01,Padang Padang,53,0.4036666666666667
2024-02-01,Padang Padang,32,2.28
